FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30877340,0,0,0,0,0,0,0,0,0,0,3,80358,0,0,0,0,0,0,0,0,27,471989,2,11352,2,11352,0,0,2,11352,90,1232353,6,25935,12,38232,1,4230,5,25917,161,2317266,10,39560,20,85951,2,9072,7,32700
30877343,1,3483,0,0,0,0,0,0,0,0,8,15447,0,0,0,0,0,0,0,0,33,58901,0,0,2,6258,0,0,0,0,84,196155,0,0,10,36544,0,0,0,0,112,258906,0,0,12,48487,0,0,0,0
30877543,0,0,0,0,0,0,0,0,0,0,3,74831,0,0,2,57197,1,55161,0,0,27,311719,1,3864,11,146989,1,55161,1,3864,86,1140689,5,54583,36,373291,8,242888,4,12279,147,1987283,7,79795,59,633108,18,423823,5,19425
30876965,1,1218,0,0,0,0,0,0,0,0,8,43123,0,0,0,0,0,0,0,0,88,92207,0,0,1,568,0,0,0,0,328,204266,0,0,2,906,0,0,0,0,530,302849,1,3114,5,15350,0,0,0,0
30876966,0,0,0,0,0,0,0,0,0,0,23,20279,0,0,0,0,0,0,0,0,115,66146,0,0,1,568,0,0,0,0,388,203922,0,0,1,568,0,0,0,0,663,292055,0,0,3,1180,0,0,0,0
30876967,0,0,0,0,0,0,0,0,0,0,7,24213,0,0,0,0,0,0,0,0,114,97735,0,0,1,568,0,0,0,0,363,210248,0,0,1,568,0,0,0,0,606,285378,0,0,3,1275,0,0,0,0
30876968,0,0,0,0,0,0,0,0,0,0,16,24084,0,0,0,0,0,0,0,0,111,97246,0,0,1,568,0,0,0,0,378,211474,0,0,1,568,0,0,0,0,645,290148,0,0,4,1518,0,0,0,0
30877143,0,0,0,0,0,0,0,0,0,0,8,63306,1,4233,1,4233,0,0,1,4233,19,271180,1,4233,1,4233,0,0,1,4233,59,733227,2,4380,5,138036,0,0,1,4233,121,1557223,3,4620,11,179295,1,7945,2,4473
30877144,1,108,0,0,0,0,0,0,0,0,7,63228,1,4233,1,4233,0,0,1,4233,19,284502,1,4233,1,4233,0,0,1,4233,54,628244,1,4233,1,4233,0,0,1,4233,113,1545652,1,4233,7,169892,0,0,1,4233
30877145,0,0,0,0,0,0,0,0,0,0,4,70089,1,4233,1,4233,0,0,1,4233,21,302379,1,4233,1,4233,0,0,1,4233,49,708258,1,4233,1,4233,0,0,1,4233,98,1403670,1,4233,4,36236,0,0,1,4233
30876763,0,0,0,0,0,0,0,0,0,0,6,13077,2,5430,1,2367,0,0,0,0,30,81273,7,28602,2,8871,0,0,0,0,70,176196,8,35538,2,8871,0,0,0,0,94,234981,12,42813,3,15612,0,0,0,0
